
--- TEST PSYNC PRINT STAT ---
stat: 292 64 21 1 50
stat: 292 64 21 1 75
stat: 293 64 21 2 25
stat: 293 64 21 3 50
stat: 293 64 21 1 75
stat: 294 64 21 2 25
stat: 294 64 21 3 50
stat: 294 64 21 1 75
stat: 295 64 21 2 25
stat: 295 64 21 2.46875 50
stat: 295 64 21 1 75
stat: 296 64 21 2 25
stat: 296 64 21 1 50
stat: 296 64 21 1 75
stat: 297 64 21 2 25
stat: 297 64 21 1 50
stat: 297 64 21 1 75
stat: 298 64 21 2 25
stat: 298 64 21 2.5625 50
stat: 298 64 21 1 75
stat: 299 64 21 2 25
stat: 299 64 21 1 50
stat: 299 64 21 1 75
stat: 300 64 21 2 25
stat: 300 64 21 2.4375 50
stat: 300 64 21 1 75
stat: 301 64 21 2 25
stat: 301 64 21 2.5625 50
stat: 301 64 21 1 75
stat: 302 64 21 2 25
stat: 302 64 21 2.4375 50
stat: 302 64 21 1 75
stat: 303 64 21 2 25
stat: 303 64 21 1 50
stat: 303 64 21 1 75
stat: 304 64 21 2 25
stat: 304 64 21 1 50
stat: 304 64 21 1 75
stat: 305 64 21 2 25
stat: 305 64 21 2.65625 50
stat: 305 64 21 1 75
stat: 306 64 21 2 25
stat: 306 64 21 2.90625 50
stat: 306 64 21 1 75
stat: 307 64 21 2 25
stat: 307 64 21 2.5625 50
stat: 307 64 21 1 75
stat: 308 64 21 2 25
stat: 308 64 21 2.625 50
stat: 308 64 21 1 75
stat: 309 64 21 2 25
stat: 309 64 21 2 50
stat: 309 64 21 1 75
stat: 310 64 21 2 25
stat: 310 64 21 3 50
stat: 310 64 21 1 75
stat: 311 64 21 2 25
stat: 311 64 21 3 50
stat: 311 64 21 1 75
stat: 312 64 21 2 25
stat: 312 64 21 1 50
stat: 312 64 21 1 75
stat: 313 64 21 2 25
stat: 313 64 21 2.375 50
stat: 313 64 21 1 75
stat: 314 64 21 2 25
stat: 314 64 21 2.5 50
stat: 314 64 21 1 75
stat: 315 64 21 2 25
stat: 315 64 21 3 50
stat: 315 64 21 1 75
stat: 316 64 21 2 25
stat: 316 64 21 2 50
stat: 316 64 21 1 75
stat: 317 64 21 2 25
stat: 317 64 21 3 50
stat: 317 64 21 1 75
stat: 318 64 21 2 25
stat: 318 64 21 2.34375 50
stat: 318 64 21 1 75
stat: 319 64 21 2 25
